giornata,data,ora,teamA,teamB,pt A,pt B,teamA_slug,teamB_slug
1° GIORNATA,SABATO 26 SETTEMBRE,Ore 20.30 ,De’Longhi Treviso,Dolomiti Energia Trento,84,80,Treviso,Trento
1° GIORNATA,DOMENICA 27 SETTEMBRE,Ore 17.00 ,Openjobmetis Varese,Germani Brescia,94,89,Varese,Brescia
1° GIORNATA,DOMENICA 27 SETTEMBRE,Ore 17.10 ,Unahotels Reggio Emilia,A|X Armani Exchange Milano,71,89,Emilia,Milano
1° GIORNATA,DOMENICA 27 SETTEMBRE,Ore 17.30 ,Allianz Trieste,Vanoli Cremona,102,77,Trieste,Cremona
1° GIORNATA,DOMENICA 27 SETTEMBRE,Ore 18.30 ,Carpegna Prosciutto Pesaro,Banco di Sardegna Sassari,85,95,Pesaro,Sassari
1° GIORNATA,DOMENICA 27 SETTEMBRE,Ore 19.00 ,Virtus Bologna,Acqua S.Bernardo Cantù,84,65,Virtus Bologna,Cantù
1° GIORNATA,DOMENICA 27 SETTEMBRE,Ore 20.45 ,Umana Reyer Venezia,Happy Casa Brindisi,75,67,Venezia,Brindisi
2° GIORNATA,SABATO 3 OTTOBRE,Ore 20.30 ,Dolomiti Energia Trento,Unahotels Reggio Emilia,81,87,Trento,Emilia
2° GIORNATA,DOMENICA 4 OTTOBRE,Ore 16.30 ,Vanoli Cremona,Umana Reyer Venezia,66,83,Cremona,Venezia
2° GIORNATA,DOMENICA 4 OTTOBRE,Ore 17.00 ,A|X Armani Exchange Milano,De’Longhi Treviso,104,64,Milano,Treviso
2° GIORNATA,DOMENICA 4 OTTOBRE,Ore 17.30 ,Germani Brescia,Virtus Bologna,80,81,Brescia,Virtus Bologna
2° GIORNATA,DOMENICA 4 OTTOBRE,Ore 18.15 ,Banco di Sardegna Sassari,Allianz Trieste,72,74,Sassari,Trieste
2° GIORNATA,DOMENICA 4 OTTOBRE,Ore 18.30 ,Fortitudo Lavoropiù Bologna,Openjobmetis Varese,83,88,Fortitudo Bologna,Varese
2° GIORNATA,DOMENICA 4 OTTOBRE,Ore 20.45 ,Acqua S.Bernardo Cantù,Carpegna Prosciutto Pesaro,81,72,Cantù,Pesaro
3° GIORNATA,SABATO 10 OTTOBRE,Ore 20.00 ,Virtus Bologna,Vanoli Cremona,92,95,Virtus Bologna,Cremona
3° GIORNATA,SABATO 10 OTTOBRE,Ore 20.30 ,Fortitudo Lavoropiù Bologna,Dolomiti Energia Trento,93,70,Fortitudo Bologna,Trento
3° GIORNATA,DOMENICA 11 OTTOBRE,Ore 17.00 ,Allianz Trieste,A|X Armani Exchange Milano,65,87,Trieste,Milano
3° GIORNATA,DOMENICA 11 OTTOBRE,Ore 17.10 ,Umana Reyer Venezia,Carpegna Prosciutto Pesaro,72,90,Venezia,Pesaro
3° GIORNATA,DOMENICA 11 OTTOBRE,Ore 17.30 ,Unahotels Reggio Emilia,Happy Casa Brindisi,76,80,Emilia,Brindisi
3° GIORNATA,DOMENICA 11 OTTOBRE,Ore 19.00 ,De’Longhi Treviso,Germani Brescia,87,94,Treviso,Brescia
3° GIORNATA,DOMENICA 11 OTTOBRE,Ore 20.45 ,Openjobmetis Varese,Acqua S.Bernardo Cantù,80,90,Varese,Cantù
4° GIORNATA,SABATO 17 OTTOBRE,Ore 20.30 ,Carpegna Prosciutto Pesaro,Dolomiti Energia Trento,57,71,Pesaro,Trento
4° GIORNATA,SABATO 17 OTTOBRE,Ore 20.30 ,Vanoli Cremona,Openjobmetis Varese,80,67,Cremona,Varese
4° GIORNATA,DOMENICA 4 OTTOBRE,Ore 12.00 ,Banco di Sardegna Sassari,Fortitudo Lavoropiù Bologna,89,86,Sassari,Fortitudo Bologna
4° GIORNATA,DOMENICA 4 OTTOBRE,Ore 17.00 ,Virtus Bologna,Unahotels Reggio Emilia,67,77,Virtus Bologna,Emilia
4° GIORNATA,DOMENICA 4 OTTOBRE,Ore 18.00 ,Acqua S.Bernardo Cantù,Umana Reyer Venezia,67,75,Cantù,Venezia
4° GIORNATA,DOMENICA 4 OTTOBRE,Ore 19.00 ,Happy Casa Brindisi,De’Longhi Treviso,99,83,Brindisi,Treviso
4° GIORNATA,DOMENICA 4 OTTOBRE,Ore 20.45 ,Germani Brescia,Allianz Trieste,75,63,Brescia,Trieste
5°GIORNATA,SABATO 24 OTTOBRE,Ore 20.30 ,Unahotels Reggio Emilia,Germani Brescia,83,67,Emilia,Brescia
5°GIORNATA,SABATO 24 OTTOBRE,Ore 20.30 ,Openjobmetis Varese,Virtus Bologna,73,85,Varese,Virtus Bologna
5°GIORNATA,DOMENICA 25 OTTOBRE,Ore 17.00 ,Fortitudo Lavoropiù Bologna,A|X Armani Exchange Milano,71,82,Fortitudo Bologna,Milano
5°GIORNATA,DOMENICA 25 OTTOBRE,Ore 17.30 ,Umana Reyer Venezia,Banco di Sardegna Sassari,92,99,Venezia,Sassari
5°GIORNATA,DOMENICA 25 OTTOBRE,Ore 19.00 ,De’Longhi Treviso,Acqua S.Bernardo Cantù,89,82,Treviso,Cantù
