"Institution","InstitutionName","SortCode"
"0107","Napier University",9120
"0108","Aston University",20
"0109","University of Bath",30
"0110","University of Birmingham",60
"0111","University of Bradford",100
"0112","University of Bristol",130
"0113","Brunel University",140
"0114","University of Cambridge",170
"0115","City University, London",260
"0116","University of Durham",330
"0117","University of East Anglia",340
"0118","University of Essex",380
"0119","University of Exeter",390
"0120","University of Hull",480
"0121","Keele University",530
"0122","University of Kent",540
"0123","Lancaster University",610
"0124","University of Leeds",630
"0125","University of Leicester",650
"0126","University of Liverpool",660
"0127","Birkbeck College",50
"0131","Goldsmiths College, University of London",410
"0132","Imperial College London",510
"0133","Institute of Education",370
"0134","King's College London",570
"0135","London Business School",920
"0137","London School of Economics and Political Science",930
"0138","London School of Hygiene & Tropical Medicine",945
"0139","Queen Mary, University of London",1220
"0141","Royal Holloway, University of London",1340
"0143","Royal Veterinary College",1370
"0145","St George's Hospital Medical School",1380
"0146","School of Oriental and African Studies",1160
"0147","School of Pharmacy",1190
"0149","University College London",1590
"0151E","British Institute in Paris",710
"0151Z","University Marine Biological Station, Millport",860
"0152","Loughborough University",960
"0204","University of Manchester",990
"0154","University of Newcastle upon Tyne",1040
"0155","University of Nottingham",1130
"0156","University of Oxford",1170
"0157","University of Reading",1260
"0158","University of Salford",1420
"0159","University of Sheffield",1440
"0160","University of Southampton",1460
"0161","University of Surrey",1530
"0162","University of Sussex",1540
"0163","University of Warwick",1600
"0164","University of York",1720
"0167","University of Edinburgh",9050
"0168","University of Glasgow",9070
"0169","University of Strathclyde",9230
"0170","University of Aberdeen",9010
"0171","Heriot-Watt University",9100
"0172","University of Dundee",9040
"0173","University of St Andrews",9200
"0174","University of Stirling",9220
"0176","University of Wales, Lampeter",9470
"0177","Aberystwyth University",9410
"0178","Bangor University",9420
"0179","Cardiff University",9430
"0180","Swansea University",9500
"0184","Queen's University Belfast",9910
"0185","University of Ulster",9920
"0186","University of Wales Centre for Advanced Welsh and Celtic Studies",9540
"0190","Norwich University College of the Arts",1120
"0188","Institute of Cancer Research",175
"0201","Courtauld Institute of Art",265
"0197","Arts Institute at Bournemouth",85
"0207","Leeds College of Music",645
"0205","Heythrop College",455
"7002","Armagh Observatory",9900
"7003","Institute of Zoology",915
"0195","Royal Agricultural College",1305
"0193","Stranmillis University College",9918
"0196","UHI Millennium Institute",9240
"0202","London Metropolitan University",955
"0206","University for the Creative Arts",285
"0208","Guildhall School of Music & Drama",435
"0001","Open University",1150
"0002","Cranfield University",280
"0003","Royal College of Art",1310
"0007","Bishop Grosseteste University College, Lincoln",70
"0009","Buckinghamshire New University",150
"0010","Central School of Speech and Drama",210
"0011","University of Chester",240
"0012","Canterbury Christ Church University",180
"0013","York St John University",1725
"0014","University College Plymouth St Mark & St John",1205
"0015","Dartington College of Arts",300
"0016","Edge Hill University",360
"0017","University College Falmouth",400
"0018","Harper Adams University College",440
"0021","University of Winchester",1665
"0023","Liverpool Hope University",670
"0024","University of the Arts London",682
"0026","University of Bedfordshire",45
"0027","University of Northampton",1070
"0028","Newman University College",1060
"0031","Roehampton University",1280
"0032","Rose Bruford College",1290
"0033","Royal Academy of Music",1300
"0034","Royal College of Music",1320
"0035","Royal Northern College of Music",1350
"0037","Southampton Solent University",1470
"0038","University of Cumbria",293
"0039","St Mary's University College",1410
"0040","Leeds Trinity & All Saints",647
"0046","University of Worcester",1690
"0047","Anglia Ruskin University",10
"0048","Bath Spa University",40
"0049","University of Bolton",80
"0050","Bournemouth University",90
"0051","University of Brighton",120
"0052","Birmingham City University",62
"0053","University of Central Lancashire",200
"0054","University of Gloucestershire",405
"0056","Coventry University",270
"0057","University of Derby",320
"0058","University of East London",350
"0059","University of Greenwich",420
"0060","University of Hertfordshire",450
"0061","University of Huddersfield",470
"0062","University of Lincoln",655
"0063","Kingston University",600
"0064","Leeds Metropolitan University",640
"0065","Liverpool John Moores University",680
"0066","Manchester Metropolitan University",1020
"0067","Middlesex University",1030
"0068","De Montfort University",310
"0069","University of Northumbria at Newcastle",1110
"0071","Nottingham Trent University",1140
"0072","Oxford Brookes University",1180
"0073","University of Plymouth",1200
"0074","University of Portsmouth",1210
"0075","Sheffield Hallam University",1450
"0076","London South Bank University",957
"0077","Staffordshire University",1500
"0078","University of Sunderland",1510
"0079","University of Teesside",1550
"0080","Thames Valley University",1560
"0081","University of the West of England, Bristol",1630
"0082","University of Chichester",250
"0083","University of Westminster",1640
"0085","University of Wolverhampton",1680
"0086","University of Wales, Newport",9480
"0087","Glyndwr University",9460
"0089","University of Wales Institute, Cardiff",9440
"0090","University of Glamorgan",9450
"0091","Swansea Metropolitan University",9510
"0095","University of Abertay Dundee",9020
"0096","Edinburgh College of Art",9060
"0097","Glasgow School of Art",9090
"0100","Queen Margaret University Edinburgh",9150
"0101","Royal Scottish Academy of Music and Drama",9170
"0104","Robert Gordon University",9160
"0105","University of the West of Scotland",9250
"0106","Glasgow Caledonian University",9080
