"JointSubmissionId","Institution","UnitOfAssessment","MultipleSubmission","StaffIdentifier","OutputNumber","Year","OutputType","LongTitle","ShortTitle","Pagination","Publisher","Editors","ISBN","PublicationDate","EndDate","URL","DOI","OtherDetails","EnglishAbstract","ResearchGroup","IsInterdisciplinary","NumberofAdditionalAuthors","CoAuthor1","CoAuthor1External","CoAuthor2","CoAuthor2External","CoAuthor3","CoAuthor3External"
,"0149",22,,930270,2,,"D","Nonlinear models for the relation between cardiovascular risk factors and intake of wine, beer and spirits","22","363-383","Statistics in Medicine",,"0277-6715",2003-Feb-01,,,"10.1002/sim.1359",,,,False,0,"Royston,P",False,"Head,J.",False,,
,"0149",22,,930270,4,,"D","Fractional polynomial selection procedures: investigation of type I error rate","69","89-108","Journal of Statistical Computation and Simulation",,"0094-9655",2001-Apr-01,,,"10.1080/00949650108812083",,,,False,0,"Royston,P.",False,,,,
,"0149",22,,930270,3,,"D","Simplifying a prognostic model: a simulation study based on clinical data","21","3803-3822","Statistics in Medicine",,"0277-6715",2002-Dec-01,,,"10.1002/sim.1422",,,,False,0,"Brady,T",True,"Royston,P.",False,"---",False
,"0149",22,,930270,1,,"D","A comparison of imputation techniques for handling missing predictor values in a risk model with a binary outcome","16 (3)","277-298","Statistical Methods in Medical Research",,"0962-2802",2007-Jun-01,,,"10.1177/0962280206074466",,,,False,0,"Omar,R.Z",False,"Royston,P.",False,,
,"0149",22,,930271,3,,"D","Spatial-temporal rainfall simulation using generalized linear models","41","1-13","Water Resources Research",,"0043-1397",2005-Nov-01,,,"10.1029/2004WR003739",,,,True,0,"Yang,C",False,"Isham,V.S",False,"Wheater,H.S.",True
,"0149",22,,930271,4,,"D","Simulation and downscaling models for potential evaporation.","302","239-254","Journal of Hydrology",,"0022-1694",2005-Feb-01,,,"10.1016/j.jhydrol.2004.07.004",,,,True,1,"Yang,C",False,"Isham,V.S",False,"Annoni,C",False
,"0149",22,,930271,2,,"D","On the use of generalized linear models for interpreting climate variability","16 (7)","699-715","Environmetrics",,"1180-4009",2005-Nov-01,,,"10.1002/env.731",,,,True,0,,,,,,
,"0149",22,,930271,1,,"D","Inference for clustered data using the independence log-likelihood.","94 (1)","167-183","Biometrika",,"0006-3444",2007-Mar-01,,,"10.1093/biomet/asm015",,,,False,0,"Bate,S.",False,,,,
,"0149",22,,930273,1,,"D","Broadcast scheduling for mobile advertising.","51 (4)","509-517","Operations Research",,"0030-364X",2003-Jul-01,,,"10.1287/opre.51.4.509.16104",,,,False,0,"Degraeve,Z.",True,"---",False,"---",False
,"0149",22,,930273,2,,"D","A hybrid scatter search/electromagnetism meta-heuristic for project scheduling.","169 (2)","638-653","Operations Research",,"0377-2217",2006-Mar-01,,,"10.1016/j.ejor.2004.08.020",,,,False,0,"Debels,D",True,"Leus,R",True,"Vanhoucke,M.",True
,"0149",22,,930273,3,,"H","Project options valuation with net present value and decision tree analysis.",,,"European Journal of Operational Research",,"0377-2217",2006-Dec-01,,"http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6VCT-4MMP2F5-2&_user=125795&_coverDate=01%2F01%2F2008&_rdoc=1&_fmt=&_orig=search&_sort=d&view=c&_acct=C000010182&_version=1&_urlVersion=0&_userid=125795&md5=c58048d84028232baacc43f1be2b39fc","10.1016/j.ejor.2006.07.047","Online version. Print version to appear in European Journal of Operational Research, January 2008, 184, 341-355.",,,False,0,"Degraeve,Z",True,"Vanderborre,R.",True,"---",False
,"0149",22,,930273,4,,"D","MABS: Spreadsheet-based decision support for precision marketing.","171 (3)","935-950","European Journal of Operational Research",,"0377-2217",2006-Jun-01,,,"10.1016/j.ejor.2005.01.009",,,,False,0,"Degraeve,Z.",True,"---",False,"---",False
