depts,shortName
Brunel University,Brunel
Imperial College London,Imperial
Lancaster University,Lancaster
London Metropolitan University,LondonMet
London School of Economics and Political Science,LSE
Open University,OU
"Queen Mary, University of London",QMUL
University College London,UCL
University of Bath,Bath
University of Bristol,Bristol
University of Cambridge,Cambridge
University of Durham,Durham
University of Glasgow,Glasgow
University of Greenwich,Greenwich
University of Kent,Kent
University of Leeds,Leeds
University of Liverpool,Liverpool
University of Manchester,Manchester
University of Newcastle upon Tyne,Newcastle
University of Nottingham,Nottingham
University of Oxford,Oxford
University of Plymouth,Plymouth
University of Reading,Reading
University of Salford,Salford
University of Sheffield,Sheffield
University of Southampton,Southampton
University of St Andrews,StAndrews
University of Strathclyde,Strathclyde
University of Warwick,Warwick
"Edinburgh+HW","Edinburgh+HW"
