RAE.name,shortName
 Journal of the Operational Research Society,other
Accident Analysis & Prevention,other
Acta Materialia,other
Acta Tropica,other
Advances in Applied Mathematics,other
Advances in Applied Probability,AdvApplProb
ADVANCES IN APPLIED PROBABILITY,AdvApplProb
Advances in Applied Probability ,AdvApplProb
Advances in Applied Probability.,AdvApplProb
Advances in Water Resources,other
Agricultural Systems,other
Algorithmica,other
American Journal of Epidemiology,other
American Journal of Human Genetics,other
American Journal of Veterinary Research,other
American Naturalist,other
Animal Conservation,other
Ann. Appl. Probability,AnnApplProb
Ann. Inst. H. Poincar? Probab. Statist.,PoincareB
Ann. Inst. H. Poincare Probab. Statist.,PoincareB
Annales de l'Institut Henri Poincar? (B) Probability and Statistics,PoincareB
Annales de l'Institut Henri Poincar? B: Probablility and Statistics,PoincareB
ANNALES DE L'INSTITUT HENRI POINCARE (B) PROBABILITES ET STATISTIQUES,PoincareB
Annales de l'Institut Henri Poincare (B) Probability and Statistics,PoincareB
ANNALES DE L'INSTITUT HENRI POINCARE (B) PROBABILITY AND STATISTICS,PoincareB
Annales de l'Institut Henri Poincare B: Probablility and Statistics,PoincareB
Annals of  Applied Probability,AnnApplProb
Annals of Applied Proabability,AnnApplProb
Annals of Applied Probability,AnnApplProb
ANNALS OF APPLIED PROBABILITY,AnnApplProb
Annals of Applied Probability.,AnnApplProb
Annals of Combinatorics,other
Annals of Finance,other
Annals of Human Genetics,other
Annals of Oncology,other
Annals of Operations Research,AnnOR
Annals of Probability,AnnProb
ANNALS OF PROBABILITY,AnnProb
Annals of Probability ,AnnProb
Annals of Statistics,AnnStat
Annals of the Institute of Statistical Mathematics,AnnInstStatMath
Annals of the Institute of Statistical Mathematics ,AnnInstStatMath
Annals of Tropical Medicine and Parasitology,other
Antiquity,other
Applied Mathematics & Optimization,other
Applied Mathematics and Computation,other
Applied Mathematics and Optimization,other
Applied Statistics,JRSSC
Applied statistics : a journal of the Royal Statistical Society.,JRSSC
Aquaculture Research,other
Aquatic Living Resources,other
ASTIN Bulletin,AstinBull
ASTIN Bulletin ,AstinBull
Atmospheric Environment,other
Australian and New Zealand Journal of Statistics,ANZJStat
