player_slug,median_rank,max_r,min_r
grigor-dimitrov,11,17,3
kei-nishikori,9,22,4
milos-raonic,6.5,24,3
stan-wawrinka,3.5,9,3
rafael-nadal,2,9,1
kyle-edmund,47,63,41
jordan-thompson,79,95,63
dominic-thiem,8,9,4
diego-schwartzman,37,54,25
viktor-troicki,40,57,29
jared-donaldson,68,105,50
mischa-zverev,31,51,25
lucas-pouille,17,25,13
nicolas-mahut,77.5,115,38
david-ferrer,31,46,21
alexandr-dolgopolov,67,89,36
gilles-simon,35.5,91,23
steve-johnson,31,46,25
bernard-tomic,59,162,26
gilles-muller,26,34,21
ernesto-escobedo,89.5,141,67
sam-querrey,26,40,13
yoshihito-nishioka,90.5,136,58
daniil-medvedev,63,99,48
dudi-sela,75,117,65
albert-ramos-vinolas,24,30,17
benoit-paire,41,55,37
aljaz-bedene,54.5,110,46
steve-darcis,59,86,38
martin-klizan,63.5,144,34
mikhail-youzhny,87,126,57
renzo-olivo,94.5,146,78
yen-hsun-lu,63,89,55
hyeon-chung,59.5,105,44
borna-coric,54.5,79,40
radu-albot,97.5,139,81
thiago-monteiro,99,134,74
damir-dzumhur,77,96,30
novak-djokovic,4,12,2
andy-murray,1,16,1
tomas-berdych,14,20,10
fernando-verdasco,37,43,29
nicolas-almagro,72,150,42
jo-wilfried-tsonga,12,18,7
ivo-karlovic,24,79,18
horacio-zeballos,64.5,87,47
jiri-vesely,55,63,42
david-goffin,11.5,14,7
dustin-brown,93.5,124,64
karen-khachanov,43,56,29
philipp-kohlschreiber,33.5,60,28
jeremy-chardy,76,88,66
jan-lennard-struff,54,64,44
robin-haase,44,66,35
andrey-kuznetsov,76,108,45
malek-jaziri,72.5,97,47
paolo-lorenzi,38,46,33
florian-mayer,58,134,44
daniel-evans,57.5,136,41
pablo-cuevas,27,38,20
fabio-fognini,29,49,25
thomaz-bellucci,70,113,52
nikoloz-basilashvili,60,94,51
thomas-fabbiano,94,168,70
jack-sock,18,23,8
joao-sousa,55,63,35
marcos-baghdatis,65,122,34
john-isner,21,24,13
ryan-harrison,46,90,40
feliciano-lopez,34,40,25
adrian-mannarino,50.5,65,28
roger-federer,4,17,2
andreas-seppi,83,102,68
gael-monfils,16,46,6
denis-istomin,74,121,51
alexander-zverev,11.5,24,3
richard-gasquet,27,32,18
marin-cilic,7,9,4
dusan-lajovic,80.5,106,61
nick-kyrgios,19.5,24,13
carlos-berlocq,80.5,125,62
frances-tiafoe,78,108,60
donald-young,57.5,88,42
pierre-hugues-herbert,75.5,109,63
federico-delbonis,67.5,139,41
mikhail-kukushkin,87,126,74
julien-benneteau,98,138,52
janko-tipsarevic,75,144,55
guido-pella,93,166,64
kevin-anderson,43.5,80,14
evgeny-donskoy,98,132,71
marius-copil,91.5,134,74
nicolas-kicker,94,126,78
juan-monaco,72,226,64
yuichi-sugita,65,134,36
