date,day_nb,from,to,result,Max.Agg.Aggressor,Max.agg.victim,winner,loser,draw
2015-01-16,16,dori,carm,4,Facial threat,,0,0,FALSE
2015-01-19,19,bone,mori,4,Vocal threat,,0,0,FALSE
2015-02-04,35,carm,mori,4,Chase,,0,0,FALSE
2015-02-18,49,flo,ging,4,Physical contact,,0,0,FALSE
2015-03-03,62,lucy,sash,2,Vocal threat,Ignore,sash,lucy,FALSE
2015-03-03,62,schm,gimp,4,Vocal threat,,0,0,FALSE
2015-03-10,69,carm,flo,4,Vocal threat,,0,0,FALSE
2015-03-16,75,sash,coco,4,Submission only,,0,0,FALSE
2015-03-27,86,wokb,carm,4,Lunge,,0,0,FALSE
2015-03-27,86,dori,tyle,4,Vocal threat,,0,0,FALSE
2015-03-27,86,panc,ring,4,Displace,,0,0,FALSE
2015-03-30,89,coco,ocea,4,Lunge,,0,0,FALSE
2015-03-30,89,sash,mori,4,Vocal threat,,0,0,FALSE
2015-04-07,97,saff,coco,4,Physical contact,,0,0,FALSE
2015-04-09,99,carm,dori,4,Physical contact,,0,0,FALSE
2015-04-10,100,panc,fay,4,Facial threat,,0,0,FALSE
2015-04-13,103,carm,gizm,4,Facial threat,,0,0,FALSE
2015-04-16,106,flyn,coco,4,Charge,,0,0,FALSE
2015-04-16,106,scar,larr,4,Chase,,0,0,FALSE
2015-04-25,115,sash,fay,1,Displace,Submission only,sash,fay,FALSE
2015-05-05,125,lucy,phoe,4,,,0,0,FALSE
2015-05-13,133,fent,carm,4,Unknown,Unknown,0,0,FALSE
2015-05-18,138,phoe,wokb,4,Unknown,Unknown,0,0,FALSE
2015-05-19,139,tyle,panc,4,Facial threat,Facial threat,0,0,FALSE
2015-05-25,145,sash,ring,4,Facial threat,Facial threat,0,0,FALSE
2015-05-26,146,mori,ring,4,Supplant,Displace,0,0,FALSE
2015-05-27,147,scar,tyle,4,Facial threat,Charge,0,0,FALSE
2015-05-29,149,flyn,saff,4,Unknown,Facial threat,0,0,FALSE
2015-06-09,160,panc,flyn,4,Facial threat,Facial threat,0,0,FALSE
2015-06-09,160,raje,ring,2,Facial threat,Ignore,ring,raje,FALSE
